address,type,symbol
401000,function,??1CObject@@UAE@XZ
40d430,function,??_GCGdiObject@@UAEPAXI@Z
425360,function,?Serialize@CObject@@UAEXAAVCArchive@@@Z
425370,function,?AssertValid@CObject@@UBEXXZ
425380,function,?Dump@CObject@@UBEXAAVCDumpContext@@@Z
426e70,function,?DoDataExchange@CWnd@@MAEXPAVCDataExchange@@@Z
429530,function,??_GCObject@@UAEPAXI@Z
43dd1f,function,??_9@$BIA@A
43dd27,function,??_9@$BHM@A
43dd2c,function,?OnSetCursor@CWnd@@IAEHPAV1@II@Z
43dd34,function,??1CException@@UAE@XZ
43dd83,function,?PtVisible@CDC@@UBEHHH@Z
43dd97,function,?RectVisible@CDC@@UBEHPBUtagRECT@@@Z
43dda7,function,?TextOutA@CDC@@UAEHHHPBDH@Z
43ddc4,function,?ExtTextOutA@CDC@@UAEHHHIPBUtagRECT@@PBDIPAH@Z
43ddea,function,?TabbedTextOutA@CDC@@UAE?AVCSize@@HHPBDHHPAHH@Z
43de23,function,?DrawTextA@CDC@@UAEHPBDHPAUtagRECT@@I@Z
43de40,function,?GrayStringA@CDC@@UAEHPAVCBrush@@P6GHPAUHDC__@@JH@ZJHHHHH@Z
43de76,function,?Escape@CDC@@UAEHHHPBDPAX@Z
43de93,function,??1CFileException@@UAE@XZ
43dee2,function,??_9@$BJA@A
4409b2,function,__purecall
448a3c,function,?AfxThrowMemoryException@@YGXXZ
448a5a,function,?AfxThrowNotSupportedException@@YGXXZ
4494cc,function,??0CObArray@@QAE@XZ
449534,function,??1CObArray@@UAE@XZ
449724,function,?Serialize@CObArray@@UAEXAAVCArchive@@@Z
4497e8,function,??0CPtrList@@QAE@H@Z
44985b,function,?RemoveAll@CPtrList@@QAEXXZ
44987b,function,??1CPtrList@@UAE@XZ
44993d,function,?FreeNode@CPtrList@@IAEXPAUCNode@1@@Z
44997a,function,?RemoveHead@CPtrList@@QAEPAXXZ
4499fd,function,?Create@CPlex@@SGPAU1@AAPAU1@II@Z
449a2d,function,?FreeDataChain@CPlex@@QAEXXZ
449a45,function,??0CPtrArray@@QAE@XZ
449aad,function,??1CPtrArray@@UAE@XZ
449b11,function,?SetSize@CPtrArray@@QAEXHH@Z
449c66,function,?InsertAt@CPtrArray@@QAEXHPAXH@Z
449f9b,function,??ACMapStringToOb@@QAEAAPAVCObject@@PBD@Z
44a070,function,?Serialize@CMapStringToOb@@UAEXAAVCArchive@@@Z
44a1ae,function,??0CMapPtrToPtr@@QAE@H@Z
44a225,function,?InitHashTable@CMapPtrToPtr@@QAEXIH@Z
44a274,function,?RemoveAll@CMapPtrToPtr@@QAEXXZ
44a2ad,function,??1CMapPtrToPtr@@UAE@XZ
44a30b,function,?NewAssoc@CMapPtrToPtr@@IAEPAUCAssoc@1@XZ
44a372,function,?FreeAssoc@CMapPtrToPtr@@IAEXPAUCAssoc@1@@Z
44a384,function,?GetAssocAt@CMapPtrToPtr@@IBEPAUCAssoc@1@PAXAAI@Z
44a3b8,function,?Lookup@CMapPtrToPtr@@QBEHPAXAAPAX@Z
44a3e5,function,??ACMapPtrToPtr@@QAEAAPAXPAX@Z
44a441,function,?RemoveKey@CMapPtrToPtr@@QAEHPAX@Z
44a486,function,?GetNextAssoc@CMapPtrToPtr@@QBEXAAPAX00@Z
44a4ef,function,?AfxDlgProc@@YGJPAUHWND__@@IIJ@Z
44a64e,function,?GetMessageMap@CDialog@@MBEPBUAFX_MSGMAP@@XZ
44a654,function,?PreTranslateMessage@CDialog@@UAEHPAUtagMSG@@@Z
44a67a,function,?OnCmdMsg@CDialog@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
44a71c,function,??1CDialog@@UAE@XZ
44a898,function,?PreModal@CDialog@@IAEPAUHWND__@@XZ
44a8d3,function,?PostModal@CDialog@@IAEXXZ
44a908,function,?DoModal@CDialog@@UAEHXZ
44a94c,function,?AfxHelpEnabled@@YGHXZ
44a9ad,function,?OnSetFont@CDialog@@UAEXPAVCFont@@@Z
44a9b0,function,?OnInitDialog@CDialog@@UAEHXZ
44aa1f,function,?OnOK@CDialog@@MAEXXZ
44aa3a,function,?OnCancel@CDialog@@MAEXXZ
44aa46,function,?OnCtlColor@CDialog@@IAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z
44aa5a,function,?OnCommandHelp@CDialog@@IAEJIJ@Z
